Source,Target,Distancia
1673708343,1673708325,122.327
1673708343,1673708352,77.093
1673708343,1673708357,87.274
1673708343,1673708329,92.27
1673708346,1673708358,107.783
1673708346,1912202234,55.078
1673708346,1673708351,94.44399999999999
1673708347,1067748611,178.072
1673708347,1673708352,38.012
1673708347,1673708358,106.681
1673708348,1673708323,120.264
1673708348,1673708354,70.417
1673708348,1067748979,13.923
1673708351,1673708356,9.704
1673708351,1912202234,66.69
1673708351,1673708346,94.44399999999999
1673708352,1673708343,77.093
1673708352,1673708347,38.012
1673708352,1673708363,94.969
1673708354,1687953407,21.77
1673708354,1673708348,70.417
1673708356,1067748720,77.025
1673708356,1673621226,20.814
1673708356,1673708351,9.704
1673708357,1673708363,84.498
1673708357,1673708332,113.729
1673708357,1673708343,87.274
1673708358,1673708347,106.681
1673708358,1673708346,107.78300000000002
1673708358,1673708408,266.243
1673708359,1673708360,11.087
1673708359,1673708340,131.176
1673708359,1673621263,164.396
1673708360,1673621248,99.274
1673708360,1673708359,11.087
1673708360,1673708341,124.149
1673708363,1673708357,84.498
1673708363,1673708352,94.969
1673708363,1673621258,85.312
1673708364,1673708371,17.652
1673708364,1067749168,86.791
1673708368,1673708387,55.37
1673708370,1673708383,18.064
1673708370,1673708381,222.23899999999998
1673708371,1673708364,17.652
1673708371,1673708402,94.232
1673708371,1687953325,52.746
1673708379,1067749168,21.665
1673708379,1673708417,138.355
1673708379,1673708371,83.496
1673708381,1067748646,131.31
1673708381,1673708385,21.328
1673708383,1673708370,18.064
1673708383,1673708420,158.154
1673708383,1673708379,78.20700000000001
1673708385,1673708391,59.567
1673708385,1673568451,154.916
1673708385,1673708381,21.328
1673708386,4351188992,124.379
1673708386,1067748537,120.907
1673708386,1067749172,17.372999999999998
1673708387,1673708402,126.035
1673708387,1673708409,81.192
1673708391,1673708412,151.323
1673708391,1067748746,121.145
1673708391,1673708385,59.567
1673708391,1673708418,75.733
1673708402,1673708387,126.035
1673708402,1673708371,94.232
1673708402,1673708407,25.843
1673708405,1673708418,123.294
1673708405,1067748746,69.053
1673708405,1067748553,89.509
1673708406,1067748537,123.468
1673708406,1067749068,160.939
1673708407,1673708402,25.843
1673708407,1673708421,50.213
1673708407,1673708417,78.655
1673708408,1673621337,81.983
1673708408,1673708358,266.243
1673708409,1673708421,130.08
1673708409,1673568456,31.542
1673708410,1067748680,136.088
1673708410,1673708434,200.622
1673708410,1673708411,14.217
1673708411,1673708426,130.515
1673708411,1673621246,192.877
1673708411,1673708410,14.217
1673708412,1673708419,71.701
1673708412,1673708391,151.323
1673708412,1673708425,74.034
1673708417,1673708379,138.355
1673708417,1709181297,74.15
1673708417,1673708407,78.655
1673708417,1673708420,77.496
1673708418,1673708405,123.294
1673708418,1673708391,75.733
1673708418,1673708428,81.993
1673708418,1673708425,149.46099999999998
1673708419,1067749011,16.169
1673708419,1673708412,71.701
1673708419,1673708424,38.602
1673708420,1673708383,158.154
1673708420,1673708423,75.087
1673708420,1673708417,77.496
1673708421,1673708409,130.08
1673708421,1673708407,50.213
1673708421,1673708430,86.76
1673708423,1067749011,27.002
1673708423,1673708420,75.087
1673708423,1673708424,38.528
1673708423,1709181290,73.946
1673708424,1673708419,38.602
1673708424,1673708444,113.041
1673708424,1673708423,38.528
1673708425,1673708436,79.482
1673708425,1673708412,74.034
1673708425,1673708418,149.46099999999998
1673708426,1673708465,200.697
1673708426,1673708411,130.515
1673708426,1673708427,11.62
1673708427,1673708426,11.62
1673708427,1673621353,99.91
1673708427,5309548637,191.199
1673708428,1673708418,81.993
1673708428,1673708431,77.969
1673708428,1067748553,121.866
1673708430,1673708421,86.76
1673708430,1673708435,73.254
1673708431,1673708436,69.945
1673708431,1673708428,77.969
1673708431,1673708447,68.834
1673708432,1673708406,168.858
1673708432,3182709576,11.534
1673708432,1067749069,205.695
1673708434,6965825627,44.922
1673708434,1673708442,13.195
1673708435,1709181297,75.973
1673708435,1067748681,157.131
1673708436,1673708425,79.482
1673708436,4562823269,29.781
1673708436,1673708431,69.945
1673708440,1673708411,202.16
1673708440,1673708434,14.368
1673708442,10844616353,239.043
1673708442,1673708443,14.884
1673708443,1701068584,131.353
1673708443,1673708440,12.877
1673708444,1673708424,113.041
1673708444,5321309289,136.295
1673708444,4562823269,45.559
1673708447,1673708469,74.388
1673708447,1673708431,68.834
1673708447,1673708481,99.42699999999999
1673708449,1673708469,170.054
1673708449,1067748553,139.514
1673708449,1067749164,122.147
1673708465,1673708440,130.776
1673708465,1701068584,12.498
1673708466,1673708465,11.643
1673708466,1673708427,201.464
1673708469,1673708447,74.388
1673708469,1673708473,32.75
1673708469,1673708449,170.054
