Source,Target,Distancia,Peso_Source,Peso_Target
1067748884.0,1710105237.0,3568.5499999999993,1.0,1.0
1067748884.0,1710115604.0,4988.718000000002,1.0,1.0
1067748884.0,1710134589.0,5228.781,1.0,2.0
1067748884.0,1710134592.0,4950.0030000000015,1.0,1.0
1067748884.0,1710508913.0,4647.578,1.0,2.0
1067748884.0,1711780123.0,3066.4409999999993,1.0,5.0
1067748884.0,1711846561.0,2703.207,1.0,1.0
1067748884.0,1712774117.0,5504.375999999999,1.0,2.0
1067748884.0,1712842203.0,5439.219000000003,1.0,1.0
1067748884.0,1713309021.0,5520.525999999997,1.0,1.0
1067748884.0,1719383814.0,5863.522000000001,1.0,1.0
1067748884.0,1720638931.0,7476.4220000000005,1.0,4.0
1067748884.0,1720639041.0,7495.2919999999995,1.0,1.0
1067748884.0,1721068672.0,9251.005000000001,1.0,11.0
1067748884.0,1721897516.0,9006.651000000002,1.0,1.0
1067748884.0,1722356998.0,6858.180000000001,1.0,1.0
1067748884.0,1722357024.0,6880.276000000001,1.0,2.0
1067748884.0,1722357030.0,7519.681000000001,1.0,1.0
1067748884.0,1722357087.0,7433.596000000001,1.0,1.0
1067748884.0,1723199177.0,7156.029000000004,1.0,1.0
1067748884.0,3182669297.0,933.8089999999999,1.0,1.0
1067748884.0,3589901740.0,808.9940000000001,1.0,2.0
1067748884.0,3589971252.0,238.79399999999998,1.0,1.0
1067748884.0,3648081932.0,389.089,1.0,2.0
1067748884.0,3648084762.0,198.832,1.0,1.0
1067748884.0,3710970920.0,597.256,1.0,3.0
1067748884.0,3877613725.0,5695.4130000000005,1.0,1.0
1067748884.0,4285277775.0,5283.118,1.0,1.0
1067748884.0,6270810586.0,6813.172000000001,1.0,5.0
1067748884.0,6929449053.0,6018.993000000002,1.0,1.0
1067748884.0,6945912850.0,813.0059999999997,1.0,1.0
1067748884.0,6948462876.0,6095.879,1.0,2.0
1067748884.0,6948976937.0,1117.8529999999998,1.0,4.0
1067748884.0,6950023886.0,726.663,1.0,1.0
1067748884.0,6950806723.0,4528.832999999999,1.0,2.0
1067748884.0,6950853769.0,2135.5539999999996,1.0,1.0
1067748884.0,6950857512.0,982.6740000000001,1.0,2.0
1067748884.0,7069614076.0,3962.112,1.0,1.0
1067748884.0,8518750867.0,4027.392,1.0,1.0
1067748884.0,8629532349.0,4847.1849999999995,1.0,1.0
1067748884.0,8720034349.0,7984.509999999999,1.0,1.0
1067748930.0,1673568513.0,5414.088,1.0,1.0
1067748930.0,1673621014.0,687.7760000000001,1.0,10.0
1067748930.0,1673621341.0,1296.65,1.0,2.0
1067748930.0,1673621519.0,3101.9690000000005,1.0,1.0
1067748930.0,1673707915.0,2102.556,1.0,1.0
1067748930.0,1673708145.0,1184.469,1.0,1.0
1067748930.0,1673708270.0,1370.0389999999998,1.0,1.0
1067748930.0,1673708443.0,1962.836,1.0,2.0
1067748930.0,1684682903.0,6456.221,1.0,1.0
1067748930.0,1685344795.0,4681.651000000002,1.0,2.0
1067748930.0,1687996037.0,1304.594,1.0,1.0
1067748930.0,1700532493.0,7203.1,1.0,1.0
1067748930.0,1700543317.0,3527.0430000000006,1.0,1.0
1067748930.0,1701116404.0,3753.601,1.0,2.0
1067748930.0,1706580382.0,2852.8929999999996,1.0,1.0
1067748930.0,1710105237.0,3819.7799999999993,1.0,1.0
1067748930.0,1710115604.0,5278.314000000002,1.0,1.0
1067748930.0,1710134589.0,5518.377,1.0,2.0
1067748930.0,1710134592.0,5239.599000000002,1.0,1.0
1067748930.0,1710508913.0,4937.174000000001,1.0,2.0
1067748930.0,1711780123.0,2975.507,1.0,5.0
1067748930.0,1711846561.0,2381.3820000000005,1.0,1.0
1067748930.0,1712774117.0,5430.198000000001,1.0,2.0
1067748930.0,1712842203.0,5349.537000000002,1.0,1.0
1067748930.0,1713309021.0,5812.233999999996,1.0,1.0
1067748930.0,1719383814.0,6155.230000000001,1.0,1.0
1067748930.0,1720638931.0,7768.130000000001,1.0,4.0
1067748930.0,1720639041.0,7617.395,1.0,1.0
1067748930.0,1721068672.0,9161.323,1.0,11.0
1067748930.0,1721897516.0,8916.969000000001,1.0,1.0
1067748930.0,1722356998.0,6768.4980000000005,1.0,1.0
1067748930.0,1722357024.0,6790.594,1.0,2.0
1067748930.0,1722357030.0,7429.999000000001,1.0,1.0
1067748930.0,1722357087.0,7343.914000000001,1.0,1.0
1067748930.0,1723199177.0,7066.347000000003,1.0,1.0
1067748930.0,3182669297.0,544.706,1.0,1.0
1067748930.0,3589901740.0,1198.097,1.0,2.0
1067748930.0,3589971252.0,150.309,1.0,1.0
1067748930.0,3648081932.0,640.319,1.0,2.0
1067748930.0,3648084762.0,450.062,1.0,1.0
1067748930.0,3710970920.0,888.964,1.0,3.0
1067748930.0,3877613725.0,5987.121000000001,1.0,1.0
1067748930.0,4285277775.0,5574.825999999999,1.0,1.0
1067748930.0,6270810586.0,6738.994000000003,1.0,5.0
1067748930.0,6929449053.0,5929.311000000002,1.0,1.0
1067748930.0,6945912850.0,855.8599999999998,1.0,1.0
1067748930.0,6948462876.0,6387.586999999999,1.0,2.0
1067748930.0,6948976937.0,790.0440000000001,1.0,4.0
1067748930.0,6950023886.0,1016.2589999999998,1.0,1.0
1067748930.0,6950806723.0,4820.540999999999,1.0,2.0
1067748930.0,6950853769.0,2074.017,1.0,1.0
1067748930.0,6950857512.0,891.7400000000001,1.0,2.0
1067748930.0,7069614076.0,3640.2870000000003,1.0,1.0
1067748930.0,8518750867.0,3705.567,1.0,1.0
1067748930.0,8629532349.0,4525.36,1.0,1.0
1067748930.0,8720034349.0,8106.613,1.0,1.0
1673568513.0,1673621014.0,5522.681,1.0,10.0
1673568513.0,1673621341.0,4883.691,1.0,2.0
1673568513.0,1673621519.0,6101.898000000001,1.0,1.0
1673568513.0,1673707915.0,5011.530000000002,1.0,1.0
1673568513.0,1673708145.0,4869.008,1.0,1.0
1673568513.0,1673708270.0,6407.834999999998,1.0,1.0
1673568513.0,1673708443.0,6715.423000000001,1.0,2.0
1673568513.0,1684682903.0,4495.205999999999,1.0,1.0
1673568513.0,1685344795.0,2837.55,1.0,2.0
1673568513.0,1687996037.0,4587.9039999999995,1.0,1.0
1673568513.0,1700532493.0,4458.403,1.0,1.0
1673568513.0,1700543317.0,3396.3169999999996,1.0,1.0
1673568513.0,1701116404.0,8178.190000000002,1.0,2.0
1673568513.0,1706580382.0,3238.3710000000005,1.0,1.0
1673568513.0,1710105237.0,7407.035,1.0,1.0
1673568513.0,1710115604.0,8278.243,1.0,1.0
1673568513.0,1710134589.0,8518.305999999999,1.0,2.0
1673568513.0,1710134592.0,8239.528000000002,1.0,1.0
1673568513.0,1710508913.0,7937.103000000001,1.0,2.0
1673568513.0,1711780123.0,4238.481999999999,1.0,5.0
1673568513.0,1711846561.0,4575.985,1.0,1.0
1673568513.0,1712774117.0,3099.032,1.0,2.0
1673568513.0,1712842203.0,3980.4349999999995,1.0,1.0
1673568513.0,1713309021.0,1133.0700000000002,1.0,1.0
1673568513.0,1719383814.0,2411.839000000001,1.0,1.0
1673568513.0,1720638931.0,4070.8680000000004,1.0,4.0
1673568513.0,1720639041.0,4872.698,1.0,1.0
1673568513.0,1721068672.0,7067.303999999997,1.0,11.0
1673568513.0,1721897516.0,6822.949999999999,1.0,1.0
1673568513.0,1722356998.0,4773.899,1.0,1.0
1673568513.0,1722357024.0,4795.995,1.0,2.0
1673568513.0,1722357030.0,5299.280000000001,1.0,1.0
1673568513.0,1722357087.0,5213.195000000001,1.0,1.0
1673568513.0,1723199177.0,5346.896000000001,1.0,1.0
1673568513.0,3182669297.0,5399.112,1.0,1.0
1673568513.0,3589901740.0,4743.4619999999995,1.0,2.0
1673568513.0,3589971252.0,5319.444,1.0,1.0
1673568513.0,3648081932.0,5431.664999999999,1.0,2.0
1673568513.0,3648084762.0,5241.407999999999,1.0,1.0
1673568513.0,3710970920.0,4529.516,1.0,3.0
1673568513.0,3877613725.0,2577.489000000001,1.0,1.0
1673568513.0,4285277775.0,1452.808,1.0,1.0
1673568513.0,6270810586.0,4351.6320000000005,1.0,5.0
1673568513.0,6929449053.0,4279.5289999999995,1.0,1.0
1673568513.0,6945912850.0,5871.567999999999,1.0,1.0
1673568513.0,6948462876.0,2162.3010000000004,1.0,2.0
1673568513.0,6948976937.0,6178.553000000001,1.0,4.0
1673568513.0,6950023886.0,5677.214999999998,1.0,1.0
1673568513.0,6950806723.0,1758.1100000000001,1.0,2.0
1673568513.0,6950853769.0,3818.4809999999998,1.0,1.0
1673568513.0,6950857512.0,5000.757999999999,1.0,2.0
1673568513.0,7069614076.0,5487.599,1.0,1.0
1673568513.0,8518750867.0,5453.023000000001,1.0,1.0
1673568513.0,8629532349.0,4981.557,1.0,1.0
1673568513.0,8720034349.0,5361.916,1.0,1.0
1673621014.0,1673621341.0,1796.2669999999998,10.0,2.0
1673621014.0,1673621519.0,3789.7450000000013,10.0,1.0
1673621014.0,1673707915.0,1444.4070000000002,10.0,1.0
1673621014.0,1673708145.0,706.418,10.0,1.0
1673621014.0,1673708270.0,2018.2730000000001,10.0,1.0
1673621014.0,1673708443.0,2618.9359999999997,10.0,2.0
1673621014.0,1684682903.0,6098.517999999999,10.0,1.0
1673621014.0,1685344795.0,4323.948,10.0,2.0
1673621014.0,1687996037.0,946.8910000000001,10.0,1.0
1673621014.0,1700532493.0,7014.950999999998,10.0,1.0
1673621014.0,1700543317.0,3169.3399999999997,10.0,1.0
1673621014.0,1701116404.0,4441.377,10.0,2.0
1673621014.0,1706580382.0,3283.3379999999997,10.0,1.0
1673621014.0,1710105237.0,4507.5560000000005,10.0,1.0
1673621014.0,1710115604.0,5966.09,10.0,1.0
1673621014.0,1710134589.0,6206.152999999998,10.0,2.0
1673621014.0,1710134592.0,5927.375000000002,10.0,1.0
1673621014.0,1710508913.0,5624.950000000001,10.0,2.0
1673621014.0,1711780123.0,2609.1920000000005,10.0,5.0
1673621014.0,1711846561.0,1903.331,10.0,1.0
1673621014.0,1712774117.0,5072.495,10.0,2.0
1673621014.0,1712842203.0,4991.834000000001,10.0,1.0
1673621014.0,1713309021.0,5916.434999999996,10.0,1.0
1673621014.0,1719383814.0,6259.4310000000005,10.0,1.0
1673621014.0,1720638931.0,7872.331,10.0,4.0
1673621014.0,1720639041.0,7578.120000000001,10.0,1.0
1673621014.0,1721068672.0,8803.620000000003,10.0,11.0
1673621014.0,1721897516.0,8559.266000000001,10.0,1.0
1673621014.0,1722356998.0,6410.795000000001,10.0,1.0
1673621014.0,1722357024.0,6432.8910000000005,10.0,2.0
1673621014.0,1722357030.0,7072.296000000001,10.0,1.0
1673621014.0,1722357087.0,6986.211000000001,10.0,1.0
1673621014.0,1723199177.0,6669.493000000002,10.0,1.0
1673621014.0,3182669297.0,333.847,10.0,1.0
1673621014.0,3589901740.0,1643.9370000000004,10.0,2.0
1673621014.0,3589971252.0,838.085,10.0,1.0
1673621014.0,3648081932.0,1328.0949999999998,10.0,2.0
1673621014.0,3648084762.0,1137.838,10.0,1.0
1673621014.0,3710970920.0,1030.5,10.0,3.0
1673621014.0,3877613725.0,6091.322,10.0,1.0
1673621014.0,4285277775.0,5679.026999999999,10.0,1.0
1673621014.0,6270810586.0,6381.291000000002,10.0,5.0
1673621014.0,6929449053.0,5540.868,10.0,1.0
